Notes,county,county_code,cause,cause_code,year,year_code,age_group,age_code,sex,sex_code,deaths,cause_category
NA,"Barnstable County, MA",25001,"Vascular dementia, unspecified",F01.9,2021,2021,85+ years,85+,Female,F,10,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Female,F,32,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Male,M,18,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,85+ years,85+,Female,F,108,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,85+ years,85+,Male,M,50,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Female,F,25,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Male,M,19,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,85+ years,85+,Female,F,103,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,85+ years,85+,Male,M,43,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Female,F,38,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Male,M,21,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,85+ years,85+,Female,F,112,Other
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,85+ years,85+,Male,M,49,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,75-84 years,75-84,Female,F,12,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,75-84 years,75-84,Male,M,13,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,85+ years,85+,Female,F,16,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,85+ years,85+,Male,M,24,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2022,2022,75-84 years,75-84,Male,M,13,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2022,2022,85+ years,85+,Male,M,10,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2023,2023,75-84 years,75-84,Male,M,16,Other
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2023,2023,85+ years,85+,Male,M,18,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2021,2021,75-84 years,75-84,Female,F,17,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Female,F,52,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Male,M,24,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2022,2022,75-84 years,75-84,Female,F,15,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Female,F,39,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Male,M,23,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,75-84 years,75-84,Female,F,14,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,75-84 years,75-84,Male,M,16,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Female,F,46,Other
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Male,M,27,Other
NA,"Barnstable County, MA",25001,"Senile degeneration of brain, not elsewhere classified",G31.1,2021,2021,85+ years,85+,Female,F,11,Other
NA,"Barnstable County, MA",25001,"Senile degeneration of brain, not elsewhere classified",G31.1,2023,2023,85+ years,85+,Female,F,18,Other
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,65-74 years,65-74,Male,M,18,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Female,F,12,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,75-84 years,75-84,Male,M,13,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Female,F,16,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,65-74 years,65-74,Male,M,16,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,75-84 years,75-84,Male,M,12,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,85+ years,85+,Female,F,16,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,65-74 years,65-74,Male,M,15,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,85+ years,85+,Male,M,12,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,55-64 years,55-64,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,65-74 years,65-74,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,75-84 years,75-84,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,55-64 years,55-64,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,65-74 years,65-74,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,75-84 years,75-84,Female,F,12,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,75-84 years,75-84,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,65-74 years,65-74,Male,M,15,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Female,F,10,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Male,M,20,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Female,F,30,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Male,M,35,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,65-74 years,65-74,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,75-84 years,75-84,Female,F,11,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,75-84 years,75-84,Male,M,22,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Female,F,29,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Male,M,43,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,65-74 years,65-74,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Female,F,14,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Male,M,25,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Female,F,31,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Male,M,30,Heart Disease
NA,"Barnstable County, MA",25001,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Female,F,10,Heart Disease
NA,"Barnstable County, MA",25001,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2021,2021,85+ years,85+,Female,F,17,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Female,F,22,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2023,2023,85+ years,85+,Female,F,17,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2023,2023,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,75-84 years,75-84,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Female,F,34,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,75-84 years,75-84,Male,M,17,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Female,F,41,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Male,M,23,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,75-84 years,75-84,Male,M,15,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Female,F,30,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Male,M,33,Heart Disease
NA,"Barnstable County, MA",25001,"Heart failure, unspecified",I50.9,2022,2022,85+ years,85+,Female,F,12,Heart Disease
NA,"Barnstable County, MA",25001,"Heart failure, unspecified",I50.9,2022,2022,85+ years,85+,Male,M,13,Heart Disease
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,75-84 years,75-84,Male,M,13,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Female,F,27,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Male,M,13,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,75-84 years,75-84,Male,M,10,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,85+ years,85+,Female,F,17,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2023,2023,85+ years,85+,Female,F,17,Stroke
NA,"Barnstable County, MA",25001,Sequelae of other and unspecified cerebrovascular diseases,I69.8,2021,2021,85+ years,85+,Female,F,10,Stroke
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2021,2021,85+ years,85+,Female,F,10,Other
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2021,2021,85+ years,85+,Male,M,14,Other
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2022,2022,85+ years,85+,Male,M,11,Other
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2023,2023,85+ years,85+,Female,F,11,Other
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2023,2023,85+ years,85+,Male,M,17,Other
