Notes,County,County Code,Cause of death,Cause of death Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths
NA,"Barnstable County, MA",25001,"Vascular dementia, unspecified",F01.9,2021,2021,85+ years,85+,Female,F,10
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Female,F,32
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Male,M,18
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,85+ years,85+,Female,F,108
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2021,2021,85+ years,85+,Male,M,50
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Female,F,25
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Male,M,19
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,85+ years,85+,Female,F,103
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2022,2022,85+ years,85+,Male,M,43
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Female,F,38
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Male,M,21
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,85+ years,85+,Female,F,112
NA,"Barnstable County, MA",25001,Unspecified dementia,F03,2023,2023,85+ years,85+,Male,M,49
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,75-84 years,75-84,Female,F,12
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,75-84 years,75-84,Male,M,13
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,85+ years,85+,Female,F,16
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2021,2021,85+ years,85+,Male,M,24
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2022,2022,75-84 years,75-84,Male,M,13
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2022,2022,85+ years,85+,Male,M,10
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2023,2023,75-84 years,75-84,Male,M,16
NA,"Barnstable County, MA",25001,Parkinson disease,G20,2023,2023,85+ years,85+,Male,M,18
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2021,2021,75-84 years,75-84,Female,F,17
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Female,F,52
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Male,M,24
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2022,2022,75-84 years,75-84,Female,F,15
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Female,F,39
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Male,M,23
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,75-84 years,75-84,Female,F,14
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,75-84 years,75-84,Male,M,16
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Female,F,46
NA,"Barnstable County, MA",25001,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Male,M,27
NA,"Barnstable County, MA",25001,"Senile degeneration of brain, not elsewhere classified",G31.1,2021,2021,85+ years,85+,Female,F,11
NA,"Barnstable County, MA",25001,"Senile degeneration of brain, not elsewhere classified",G31.1,2023,2023,85+ years,85+,Female,F,18
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,65-74 years,65-74,Male,M,18
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Male,M,11
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Female,F,12
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Male,M,10
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,75-84 years,75-84,Male,M,13
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Female,F,16
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Male,M,14
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,65-74 years,65-74,Male,M,16
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,75-84 years,75-84,Male,M,12
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,85+ years,85+,Female,F,16
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,65-74 years,65-74,Male,M,15
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,85+ years,85+,Male,M,12
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,55-64 years,55-64,Male,M,11
