Notes,county,county_code,cause,cause_code,year,year_code,age_group,age_code,sex,sex_code,deaths,cause_category
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,65-74 years,65-74,Male,M,18,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Female,F,12,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,75-84 years,75-84,Male,M,13,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Female,F,16,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,65-74 years,65-74,Male,M,16,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,75-84 years,75-84,Male,M,12,Heart Disease
NA,"Barnstable County, MA",25001,"Acute myocardial infarction, unspecified",I21.9,2023,2023,85+ years,85+,Female,F,16,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,65-74 years,65-74,Male,M,15,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,85+ years,85+,Male,M,12,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,55-64 years,55-64,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,65-74 years,65-74,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,75-84 years,75-84,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,55-64 years,55-64,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,65-74 years,65-74,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,75-84 years,75-84,Female,F,12,Heart Disease
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,75-84 years,75-84,Male,M,11,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,65-74 years,65-74,Male,M,15,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Female,F,10,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Male,M,20,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Female,F,30,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Male,M,35,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,65-74 years,65-74,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,75-84 years,75-84,Female,F,11,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,75-84 years,75-84,Male,M,22,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Female,F,29,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Male,M,43,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,65-74 years,65-74,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Female,F,14,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Male,M,25,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Female,F,31,Heart Disease
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Male,M,30,Heart Disease
NA,"Barnstable County, MA",25001,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Female,F,10,Heart Disease
NA,"Barnstable County, MA",25001,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2021,2021,85+ years,85+,Female,F,17,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Female,F,22,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2023,2023,85+ years,85+,Female,F,17,Heart Disease
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2023,2023,85+ years,85+,Male,M,10,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,75-84 years,75-84,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Female,F,34,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Male,M,14,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,75-84 years,75-84,Male,M,17,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Female,F,41,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Male,M,23,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,75-84 years,75-84,Male,M,15,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Female,F,30,Heart Disease
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Male,M,33,Heart Disease
NA,"Barnstable County, MA",25001,"Heart failure, unspecified",I50.9,2022,2022,85+ years,85+,Female,F,12,Heart Disease
NA,"Barnstable County, MA",25001,"Heart failure, unspecified",I50.9,2022,2022,85+ years,85+,Male,M,13,Heart Disease
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,75-84 years,75-84,Male,M,13,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Female,F,27,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Male,M,13,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,75-84 years,75-84,Male,M,10,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,85+ years,85+,Female,F,17,Stroke
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2023,2023,85+ years,85+,Female,F,17,Stroke
NA,"Barnstable County, MA",25001,Sequelae of other and unspecified cerebrovascular diseases,I69.8,2021,2021,85+ years,85+,Female,F,10,Stroke
NA,"Berkshire County, MA",25003,"Acute myocardial infarction, unspecified",I21.9,2021,2021,55-64 years,55-64,Male,M,10,Heart Disease
NA,"Berkshire County, MA",25003,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,65-74 years,65-74,Male,M,11,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Female,F,10,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Male,M,16,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Female,F,15,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Male,M,21,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Female,F,17,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Male,M,14,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Male,M,14,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Female,F,16,Heart Disease
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Male,M,16,Heart Disease
NA,"Berkshire County, MA",25003,Aortic (valve) stenosis,I35.0,2021,2021,85+ years,85+,Female,F,10,Heart Disease
NA,"Berkshire County, MA",25003,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Female,F,10,Heart Disease
NA,"Berkshire County, MA",25003,Aortic (valve) stenosis,I35.0,2023,2023,85+ years,85+,Female,F,10,Heart Disease
NA,"Berkshire County, MA",25003,Atrial fibrillation and flutter,I48,2021,2021,85+ years,85+,Female,F,12,Heart Disease
NA,"Berkshire County, MA",25003,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Female,F,13,Heart Disease
NA,"Berkshire County, MA",25003,"Cardiac arrhythmia, unspecified",I49.9,2022,2022,65-74 years,65-74,Male,M,12,Heart Disease
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Female,F,13,Heart Disease
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Male,M,14,Heart Disease
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Female,F,20,Heart Disease
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Female,F,14,Heart Disease
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Male,M,14,Heart Disease
NA,"Berkshire County, MA",25003,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Female,F,19,Stroke
NA,"Berkshire County, MA",25003,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,85+ years,85+,Female,F,14,Stroke
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2021,2021,65-74 years,65-74,Male,M,12,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2021,2021,75-84 years,75-84,Male,M,10,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2021,2021,85+ years,85+,Male,M,10,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,55-64 years,55-64,Male,M,10,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,65-74 years,65-74,Male,M,13,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,75-84 years,75-84,Male,M,10,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,85+ years,85+,Female,F,11,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2023,2023,65-74 years,65-74,Male,M,10,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2023,2023,75-84 years,75-84,Male,M,11,Diabetes
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2023,2023,85+ years,85+,Female,F,10,Diabetes
NA,"Bristol County, MA",25005,Hypertensive heart disease with (congestive) heart failure,I11.0,2022,2022,85+ years,85+,Female,F,10,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,55-64 years,55-64,Male,M,15,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,65-74 years,65-74,Male,M,21,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Female,F,13,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Male,M,16,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Female,F,22,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Male,M,12,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,55-64 years,55-64,Female,F,10,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,55-64 years,55-64,Male,M,15,Heart Disease
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,65-74 years,65-74,Male,M,21,Heart Disease
