Notes,County,County Code,Education,Education Code,Single/Multi Race 31,Single/Multi Race 31 Code,Cause of death,Cause of death Code,Sex,Sex Code,Deaths
NA,"Barnstable County, MA",25001,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Female,F,10
NA,"Barnstable County, MA",25001,9th through 12th grade with no diploma,2,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Unspecified severe protein-energy malnutrition,E43,Female,F,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Vascular dementia, unspecified",F01.9,Female,F,11
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Vascular dementia, unspecified",F01.9,Male,M,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Female,F,207
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Male,M,61
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,Male,M,11
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Parkinson disease,G20,Female,F,14
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Parkinson disease,G20,Male,M,19
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,68
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,29
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Senile degeneration of brain, not elsewhere classified",G31.1,Female,F,22
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Essential (primary) hypertension,I10,Female,F,13
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease with (congestive) heart failure,I11.0,Female,F,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease without (congestive) heart failure,I11.9,Female,F,11
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease without (congestive) heart failure,I11.9,Male,M,13
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,25
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,40
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,30
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,48
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,63
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,80
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Aortic (valve) stenosis,I35.0,Female,F,16
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Atrial fibrillation and flutter,I48,Female,F,33
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Atrial fibrillation and flutter,I48,Male,M,17
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Female,F,63
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Male,M,45
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Heart failure, unspecified",I50.9,Female,F,17
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Intracerebral haemorrhage, unspecified",I61.9,Female,F,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,39
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Male,M,14
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Pneumonia, unspecified",J18.9,Female,F,18
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,21
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,Female,F,10
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,71
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,39
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Pneumonitis due to food and vomit,J69.0,Female,F,18
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,24
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Other interstitial pulmonary diseases with fibrosis,J84.1,Female,F,12
NA,"Barnstable County, MA",25001,High school graduate or GED completed,3,White (only),1,Other interstitial pulmonary diseases with fibrosis,J84.1,Male,M,13
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Unspecified dementia,F03,Female,F,46
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Unspecified dementia,F03,Male,M,23
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Parkinson disease,G20,Male,M,11
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,21
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,12
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,15
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,28
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,10
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,20
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,23
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,23
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Congestive heart failure,I50.0,Female,F,17
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Congestive heart failure,I50.0,Male,M,12
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Heart failure, unspecified",I50.9,Male,M,12
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,10
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,23
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,17
NA,"Barnstable County, MA",25001,"Some college credit, but not a degree.",4,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,12
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,Unspecified dementia,F03,Female,F,38
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,Unspecified dementia,F03,Male,M,14
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,25
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,13
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,18
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,Atrial fibrillation and flutter,I48,Female,F,12
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,Congestive heart failure,I50.0,Female,F,18
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,10
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,14
NA,"Barnstable County, MA",25001,"Associate degree (AA,AS)",5,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,10
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Female,F,76
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Male,M,49
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Parkinson disease,G20,Female,F,14
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Parkinson disease,G20,Male,M,34
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,39
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,41
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Essential (primary) hypertension,I10,Male,M,12
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,20
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,27
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,13
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,35
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,16
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,49
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Aortic (valve) stenosis,I35.0,Female,F,11
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Cardiomyopathy, unspecified",I42.9,Male,M,14
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Cardiac arrest, unspecified",I46.9,Male,M,10
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atrial fibrillation and flutter,I48,Female,F,10
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atrial fibrillation and flutter,I48,Male,M,13
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Congestive heart failure,I50.0,Female,F,23
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Congestive heart failure,I50.0,Male,M,36
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Heart failure, unspecified",I50.9,Male,M,10
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,19
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Male,M,13
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,19
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,23
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,20
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,27
NA,"Barnstable County, MA",25001,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Other interstitial pulmonary diseases with fibrosis,J84.1,Male,M,17
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Unspecified dementia,F03,Female,F,43
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Unspecified dementia,F03,Male,M,42
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Parkinson disease,G20,Female,F,10
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Parkinson disease,G20,Male,M,19
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,23
