Notes	County	County Code	Cause of death	Cause of death Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Sex	Sex Code	Deaths
	"Barnstable County, MA"	25001	"Vascular dementia, unspecified"	F01.9	2021	2021	85+ years	85+	Female	F	10
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2021	2021	75-84 years	75-84	Female	F	32
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2021	2021	75-84 years	75-84	Male	M	18
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2021	2021	85+ years	85+	Female	F	108
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2021	2021	85+ years	85+	Male	M	50
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2022	2022	75-84 years	75-84	Female	F	25
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2022	2022	75-84 years	75-84	Male	M	19
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2022	2022	85+ years	85+	Female	F	103
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2022	2022	85+ years	85+	Male	M	43
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2023	2023	75-84 years	75-84	Female	F	38
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2023	2023	75-84 years	75-84	Male	M	21
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2023	2023	85+ years	85+	Female	F	112
	"Barnstable County, MA"	25001	Unspecified dementia	F03	2023	2023	85+ years	85+	Male	M	49
	"Barnstable County, MA"	25001	Parkinson disease	G20	2021	2021	75-84 years	75-84	Female	F	12
	"Barnstable County, MA"	25001	Parkinson disease	G20	2021	2021	75-84 years	75-84	Male	M	13
	"Barnstable County, MA"	25001	Parkinson disease	G20	2021	2021	85+ years	85+	Female	F	16
	"Barnstable County, MA"	25001	Parkinson disease	G20	2021	2021	85+ years	85+	Male	M	24
	"Barnstable County, MA"	25001	Parkinson disease	G20	2022	2022	75-84 years	75-84	Male	M	13
	"Barnstable County, MA"	25001	Parkinson disease	G20	2022	2022	85+ years	85+	Male	M	10
	"Barnstable County, MA"	25001	Parkinson disease	G20	2023	2023	75-84 years	75-84	Male	M	16
	"Barnstable County, MA"	25001	Parkinson disease	G20	2023	2023	85+ years	85+	Male	M	18
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2021	2021	75-84 years	75-84	Female	F	17
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2021	2021	85+ years	85+	Female	F	52
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2021	2021	85+ years	85+	Male	M	24
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2022	2022	75-84 years	75-84	Female	F	15
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2022	2022	85+ years	85+	Female	F	39
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2022	2022	85+ years	85+	Male	M	23
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2023	2023	75-84 years	75-84	Female	F	14
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2023	2023	75-84 years	75-84	Male	M	16
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2023	2023	85+ years	85+	Female	F	46
	"Barnstable County, MA"	25001	"Alzheimer disease, unspecified"	G30.9	2023	2023	85+ years	85+	Male	M	27
	"Barnstable County, MA"	25001	"Senile degeneration of brain, not elsewhere classified"	G31.1	2021	2021	85+ years	85+	Female	F	11
	"Barnstable County, MA"	25001	"Senile degeneration of brain, not elsewhere classified"	G31.1	2023	2023	85+ years	85+	Female	F	18
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2021	2021	65-74 years	65-74	Male	M	18
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2021	2021	75-84 years	75-84	Male	M	11
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2021	2021	85+ years	85+	Female	F	12
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2021	2021	85+ years	85+	Male	M	10
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2022	2022	75-84 years	75-84	Male	M	13
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2022	2022	85+ years	85+	Female	F	16
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2022	2022	85+ years	85+	Male	M	14
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2023	2023	65-74 years	65-74	Male	M	16
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2023	2023	75-84 years	75-84	Male	M	12
	"Barnstable County, MA"	25001	"Acute myocardial infarction, unspecified"	I21.9	2023	2023	85+ years	85+	Female	F	16
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2021	2021	65-74 years	65-74	Male	M	15
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2021	2021	85+ years	85+	Male	M	12
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2022	2022	55-64 years	55-64	Male	M	11
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2022	2022	65-74 years	65-74	Male	M	14
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2022	2022	75-84 years	75-84	Male	M	11
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2023	2023	55-64 years	55-64	Male	M	10
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2023	2023	65-74 years	65-74	Male	M	14
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2023	2023	75-84 years	75-84	Female	F	12
	"Barnstable County, MA"	25001	"Atherosclerotic cardiovascular disease, so described"	I25.0	2023	2023	75-84 years	75-84	Male	M	11
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2021	2021	65-74 years	65-74	Male	M	15
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2021	2021	75-84 years	75-84	Female	F	10
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2021	2021	75-84 years	75-84	Male	M	20
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2021	2021	85+ years	85+	Female	F	30
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2021	2021	85+ years	85+	Male	M	35
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2022	2022	65-74 years	65-74	Male	M	14
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2022	2022	75-84 years	75-84	Female	F	11
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2022	2022	75-84 years	75-84	Male	M	22
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2022	2022	85+ years	85+	Female	F	29
	"Barnstable County, MA"	25001	Atherosclerotic heart disease	I25.1	2022	2022	85+ years	85+	Male	M	43
